date,stiffness,rating,ascent_type,attempts,grade,color,climb_name,gym
2024-08-29,0,,Onsight,1,v2,Yellow,,Movement Belmont
2024-08-29,0,,Onsight,1,v0,Pink,,Movement Belmont
2024-08-29,0,,Onsight,1,v1,White,,Movement Belmont
2024-08-29,0,,Repeat,2,v3,Blue,,Movement Belmont
2024-08-29,0,,Onsight,1,vIntro,Purple,,Movement Belmont
2024-09-05,0,,Redpoint,2,v2,Black,,Movement Belmont
2024-09-05,0,,Redpoint,3,v3,Blue,,Movement Belmont
2024-09-05,0,,Onsight,1,v1,White,,Movement Belmont
2024-09-12,0,,Repeat,,vIntro,Purple,,Movement Belmont
2024-09-12,0,,Onsight,1,v0,Blue,,Movement Belmont
2024-09-12,0,,Onsight,1,v1,White,,Movement Belmont
2024-09-12,0,,Onsight,1,v2,Black,,Movement Belmont
2024-09-12,0,,Onsight,1,v3,Pink,,Movement Belmont
2024-09-12,0,,Repeat,1,v3,Blue,,Movement Belmont
2024-09-12,0,,Onsight,1,v3,Purple,,Movement Belmont
2024-09-19,0,,Onsight,1,v0,White,,Movement Belmont
2024-09-19,0,,Onsight,1,v2,Green,,Movement Belmont
2024-09-19,0,,Onsight,1,v3,White,,
2024-09-19,0,,Onsight,1,v3,Black,,Movement Belmont
2024-09-19,0,,Onsight,1,v2,Pink,,Movement Belmont
2024-09-19,0,,Onsight,1,v2,Orange,,Movement Belmont
2024-09-19,0,,Onsight,1,v2,Purple,,
2024-09-26,0,,Onsight,1,v0,Blue,,Movement Belmont
2024-09-26,0,,Onsight,1,vIntro,Purple,,Movement Belmont
2024-09-26,0,,Onsight,1,v0,Pink,,
2024-09-26,0,,Onsight,1,v1,Black,,Movement Belmont
2024-09-26,0,,Onsight,1,v2,Orange,,Movement Belmont
2024-09-26,0,,Onsight,1,v3,Black,,Movement Belmont
2024-09-26,0,,Onsight,1,v3,Green,,Movement Belmont
2024-09-26,0,,Onsight,1,v3,Orange,,Movement Belmont
2024-09-26,0,,Redpoint,3,v3,Purple,,Movement Belmont
2024-09-26,0,,Redpoint,6,v3,Pink,,Movement Belmont
2024-10-03,0,,Repeat,,vIntro,Purple,,Movement Belmont
2024-10-03,0,,Repeat,,v0,Pink,,Movement Belmont
2024-10-03,0,,Onsight,1,v1,Purple,,Movement Belmont
2024-10-03,0,,Onsight,1,v2,Yellow,,
2024-10-03,0,,Onsight,1,v3,Purple,,
2024-10-03,0,,Repeat,1,v3,Purple,,
2024-10-03,0,,Redpoint,6,v4,White,,Movement Belmont
2024-10-08,0,,Repeat,,vIntro,Purple,,Movement Belmont
2024-10-08,0,,Repeat,,v0,Blue,,Movement Belmont
2024-10-08,0,,Onsight,,v2,Yellow,,Movement Belmont
2024-10-08,0,,Repeat,,v2,Yellow,,Movement Belmont
2024-10-10,0,,Onsight,,v0,Purple,,Movement Belmont
2024-10-10,0,,Onsight,,v1,Pink,,Movement Belmont
2024-10-10,0,,Onsight,,v2,Green,,Movement Belmont
2024-10-10,0,,Repeat,,v3,Pink,,Movement Belmont
2024-10-10,0,,Onsight,,v3,Green,,Movement Belmont
2024-10-10,0,,Onsight,,v3,Yellow,,Movement Belmont
2024-10-10,0,,Onsight,,v4,Orange,,Movement Belmont
2024-10-10,0,,Repeat,2,v4,White,,Movement Belmont
2024-10-10,0,,Onsight,,v2,Purple,,Movement Belmont
2024-10-10,0,,Onsight,,v1,Blue,,Movement Belmont
2024-10-17,0,,Onsight,,vIntro,Pink,,Movement Belmont
2024-10-17,0,,Onsight,,v0,Purple,,Movement Belmont
2024-10-17,0,,Onsight,,v0,White,,Movement Belmont
2024-10-17,0,,Onsight,,v1,Yellow,,Movement Belmont
2024-10-17,0,,Onsight,,v2,Orange,,Movement Belmont
2024-10-17,0,,Onsight,,v4,Yellow,,Movement Belmont
2024-10-17,0,,Onsight,,v3,Yellow,,Movement Belmont
2024-10-17,0,,Onsight,,v3,Pink,,Movement Belmont
2024-10-17,0,,Repeat,,v3,Green,,Movement Belmont
2024-10-17,0,,Repeat,,v3,Yellow,,Movement Belmont
2024-10-24,0,,Repeat,,v0,Purple,,Movement Belmont
2024-10-24,0,,Repeat,,v1,Pink,,Movement Belmont
2024-10-24,0,,Repeat,,v2,Purple,,Movement Belmont
2024-10-24,0,,Repeat,,v3,Pink,,Movement Belmont
2024-10-24,0,,Redpoint,7,v3,Black,,Movement Belmont
2024-10-25,0,,Repeat,,v0,Purple,,Movement Belmont
2024-10-25,0,,Onsight,,v4,Blue,,
2024-10-25,0,,Repeat,,v3,Black,,Movement Belmont
2024-10-28,0,,Repeat,,v1,Blue,,Movement Belmont
2024-10-28,0,,Repeat,,v0,White,,Movement Belmont
2024-10-28,0,,Onsight,,v1,Yellow,,Movement Belmont
2024-10-28,0,,Onsight,,v2,Pink,,Movement Belmont
2024-10-28,0,,Onsight,,v3,White,,Movement Belmont
2024-10-28,0,,Onsight,,v3,Yellow,,Movement Belmont
2024-10-28,0,,Onsight,,v2,Yellow,,Movement Belmont
2024-10-28,0,,Repeat,4,v4,Orange,,Movement Belmont
2024-10-29,0,,Onsight,,v0,Orange,,Movement Belmont
2024-10-29,0,,Onsight,,v0,Orange,,Movement Belmont
2024-10-29,0,,Onsight,,v1,Yellow,,Movement Belmont
