check_id,line_item_id,menu_item_id,quantity
700001,1,106,1
700001,2,102,1
700001,3,107,1
700001,4,107,1
700001,5,104,1
700001,6,201,4
700001,7,404,1
700002,1,110,1
700002,2,109,1
700002,3,105,1
700002,4,104,1
700002,5,301,4
700002,6,401,2
700003,1,109,1
700003,2,110,1
700003,3,102,1
700003,4,109,1
700003,5,303,3
700003,6,503,2
700003,7,403,2
700004,1,106,1
700004,2,306,1
700005,1,108,1
700005,2,104,1
700005,3,109,1
700005,4,108,1
700006,1,109,1
700006,2,105,1
700006,3,204,2
700007,1,109,1
700007,2,203,1
700008,1,106,1
700008,2,110,1
700008,3,205,1
700008,4,301,1
700008,5,501,1
700009,1,103,1
700009,2,108,1
700009,3,204,1
700009,4,304,1
700010,1,109,1
700010,2,103,1
700010,3,305,2
700011,1,102,1
700011,2,108,1
700011,3,104,1
700012,1,107,1
700012,2,107,1
700012,3,207,1
700012,4,307,2
700013,1,104,1
700013,2,107,1
700013,3,108,1
700013,4,101,1
700013,5,307,3
700013,6,402,2
700014,1,105,1
700014,2,102,1
700014,3,107,1
700014,4,103,1
700015,1,107,1
700015,2,101,1
700015,3,206,2
700015,4,301,1
700015,5,501,1
700016,1,108,1
700016,2,105,1
700016,3,306,1
700016,4,402,1
700017,1,103,1
700017,2,107,1
700018,1,107,1
700018,2,104,1
700018,3,204,2
700018,4,305,2
700018,5,504,1
700018,6,402,1
700019,1,103,1
700019,2,104,1
700019,3,207,2
700019,4,302,2
700020,1,103,1
700020,2,106,1
700020,3,305,1
700021,1,110,1
700021,2,106,1
700021,3,308,2
700021,4,401,1
700022,1,105,1
700022,2,104,1
700022,3,101,1
700022,4,403,1
700023,1,105,1
700023,2,101,1
700023,3,306,1
700023,4,505,1
700024,1,109,1
700024,2,101,1
700024,3,107,1
700024,4,109,1
700024,5,110,1
700024,6,107,1
700024,7,204,5
700024,8,305,5
700025,1,101,1
700025,2,107,1
700025,3,101,1
700025,4,107,1
700025,5,105,1
700025,6,204,3
700025,7,306,5
700026,1,107,1
700026,2,104,1
700026,3,306,2
700026,4,504,1
700026,5,404,1
700027,1,107,1
700027,2,103,1
700027,3,110,1
700027,4,503,1
700028,1,109,1
700028,2,101,1
700028,3,107,1
700028,4,404,1
700029,1,105,1
700029,2,104,1
700029,3,302,2
700030,1,106,1
700030,2,106,1
700030,3,302,2
700030,4,504,1
700031,1,107,1
700031,2,206,1
700031,3,401,1
700032,1,109,1
700032,2,107,1
700032,3,105,1
700032,4,109,1
700032,5,503,2
700033,1,105,1
700033,2,107,1
700033,3,110,1
700033,4,203,2
700033,5,304,3
700033,6,502,2
700034,1,106,1
700034,2,103,1
700034,3,101,1
700034,4,105,1
700034,5,103,1
700034,6,301,4
700034,7,503,1
700035,1,104,1
700035,2,106,1
700035,3,302,1
700036,1,107,1
700036,2,109,1
700036,3,206,1
700037,1,110,1
700037,2,206,1
700038,1,103,1
700038,2,103,1
700038,3,109,1
700038,4,103,1
700038,5,307,4
700038,6,502,2
700039,1,105,1
700039,2,207,1
700040,1,103,1
700040,2,108,1
700040,3,103,1
700040,4,301,3
700041,1,103,1
700041,2,105,1
700041,3,102,1
700041,4,505,2
700042,1,104,1
700042,2,110,1
700042,3,110,1
700042,4,105,1
700042,5,104,1
700042,6,108,1
700043,1,108,1
700043,2,207,1
700044,1,107,1
700044,2,103,1
700044,3,108,1
700044,4,102,1
700044,5,204,3
700044,6,302,4
700045,1,109,1
700045,2,101,1
700045,3,101,1
700045,4,101,1
700045,5,104,1
700046,1,101,1
700046,2,104,1
700047,1,102,1
700047,2,105,1
700047,3,204,1
700048,1,110,1
700048,2,108,1
700048,3,107,1
700048,4,105,1
700048,5,108,1
700048,6,202,2
700048,7,502,2
700049,1,102,1
700049,2,501,1
700050,1,103,1
700050,2,105,1
700050,3,201,1
700050,4,301,2
700051,1,108,1
700051,2,103,1
700051,3,204,2
700051,4,303,2
700052,1,108,1
700052,2,110,1
700052,3,302,2
700052,4,402,1
700053,1,109,1
700053,2,109,1
700053,3,105,1
700053,4,110,1
700053,5,504,2
700053,6,402,2
700054,1,101,1
700054,2,206,1
700054,3,303,1
700054,4,501,1
700055,1,110,1
700055,2,109,1
700055,3,102,1
700055,4,110,1
700055,5,201,3
700055,6,503,2
700056,1,110,1
700056,2,108,1
700056,3,404,1
700057,1,106,1
700057,2,107,1
700057,3,205,2
700057,4,304,1
700058,1,104,1
700058,2,110,1
700058,3,205,1
700058,4,307,2
700059,1,104,1
700059,2,104,1
700059,3,302,1
700059,4,403,1
700060,1,103,1
700060,2,106,1
700060,3,204,1
700060,4,401,1
700061,1,104,1
700061,2,101,1
700061,3,201,1
700062,1,102,1
700062,2,110,1
700062,3,107,1
700062,4,105,1
700062,5,110,1
700062,6,104,1
700063,1,107,1
700063,2,207,1
700063,3,305,1
700063,4,402,1
700064,1,107,1
700064,2,107,1
700064,3,101,1
700064,4,104,1
700064,5,109,1
700064,6,109,1
700064,7,205,4
700064,8,502,3
700065,1,107,1
700065,2,106,1
700065,3,110,1
700065,4,305,3
700065,5,504,1
700065,6,403,1
700066,1,107,1
700066,2,108,1
700066,3,303,2
700066,4,503,1
