check_id,location_id,check_date,daypart,party_size,total_amount,tax_amount,server_id,order_channel,table_section,discount_amount
700001,17,2026-02-27,lunch,5,250.0,21.88,5248,delivery,bar,45.0
700002,19,2026-04-24,dinner,4,206.0,18.02,5271,dine_in,patio,10.3
700003,22,2025-09-27,dinner,4,251.5,22.01,5319,takeout,patio,0.0
700004,21,2026-05-04,dinner,1,36.5,3.19,5308,dine_in,main,1.83
700005,17,2025-10-27,dinner,4,145.5,12.73,5246,delivery,main,26.19
700006,8,2026-01-09,late_night,2,100.5,8.79,5112,delivery,main,18.09
700007,4,2025-09-09,late_night,1,50.5,4.42,5046,dine_in,main,0.0
700008,24,2026-03-10,lunch,2,101.0,8.84,5347,takeout,patio,0.0
700009,18,2025-10-21,late_night,2,114.0,9.97,5270,kiosk,bar,0.0
700010,20,2026-02-26,dinner,2,104.5,9.14,5288,dine_in,main,0.0
700011,1,2025-09-29,dinner,3,116.5,10.19,5006,takeout,main,0.0
700012,8,2025-11-11,dinner,2,82.0,7.17,5114,kiosk,main,0.0
700013,2,2026-03-10,dinner,4,216.5,18.94,5030,delivery,patio,38.97
700014,2,2025-08-13,late_night,4,153.5,13.43,5024,dine_in,main,0.0
700015,14,2025-12-14,dinner,2,141.5,12.38,5200,delivery,bar,25.47
700016,2,2025-07-07,dinner,2,88.0,7.7,5016,takeout,main,0.0
700017,24,2025-06-20,dinner,2,76.5,6.69,5348,delivery,patio,13.77
700018,5,2025-07-19,dinner,2,145.5,12.73,5067,dine_in,patio,0.0
700019,14,2025-07-10,late_night,2,130.0,11.38,5197,takeout,bar,0.0
700020,10,2025-09-23,dinner,2,88.0,7.7,5144,dine_in,patio,0.0
700021,7,2025-08-22,dinner,2,109.5,9.58,5094,dine_in,patio,0.0
700022,2,2025-08-01,dinner,3,154.0,13.47,5024,dine_in,bar,7.7
700023,11,2026-01-23,late_night,2,117.5,10.28,5151,takeout,main,0.0
700024,2,2026-05-01,dinner,6,328.0,28.7,5020,dine_in,main,0.0
700025,17,2025-09-01,lunch,5,284.0,24.85,5250,delivery,main,51.12
700026,2,2025-09-26,lunch,2,115.5,10.11,5018,dine_in,main,5.78
700027,3,2026-04-23,lunch,3,125.0,10.94,5041,dine_in,patio,0.0
700028,15,2026-05-04,lunch,3,143.5,12.56,5222,dine_in,main,0.0
700029,9,2025-10-07,lunch,2,93.0,8.14,5124,delivery,patio,16.74
700030,4,2026-06-12,dinner,2,90.5,7.92,5055,dine_in,bar,0.0
700031,22,2025-10-22,lunch,1,53.5,4.68,5327,dine_in,main,0.0
700032,10,2025-11-23,lunch,4,184.5,16.14,5145,takeout,patio,0.0
700033,8,2026-02-20,dinner,3,223.5,19.56,5110,takeout,main,0.0
700034,24,2026-01-26,lunch,5,276.5,24.19,5360,takeout,bar,0.0
700035,17,2025-11-30,lunch,2,81.0,7.09,5253,delivery,main,14.58
700036,11,2025-07-12,lunch,2,75.5,6.61,5157,takeout,main,0.0
700037,7,2025-11-04,dinner,1,36.0,3.15,5094,catering,main,0.0
700038,12,2025-09-16,dinner,4,263.5,23.06,5170,dine_in,main,13.18
700039,19,2026-05-12,dinner,1,48.0,4.2,5279,takeout,main,0.0
700040,23,2025-07-03,dinner,3,150.5,13.17,5340,delivery,patio,27.09
700041,2,2026-03-10,lunch,3,153.0,13.39,5024,dine_in,main,0.0
700042,2,2026-02-23,lunch,6,208.5,18.24,5019,dine_in,bar,0.0
700043,7,2026-01-08,dinner,1,43.5,3.81,5098,delivery,main,7.83
700044,10,2025-09-26,dinner,4,214.0,18.72,5147,kiosk,main,0.0
700045,14,2026-07-10,late_night,5,268.5,23.49,5206,dine_in,main,0.0
700046,2,2025-11-27,late_night,2,106.0,9.27,5025,dine_in,main,0.0
