month,department,headcount,avg_salary,salary_cost,benefits_cost
2024-01-01,engineering,28,14518.61,406521.15,113825.92
2024-01-01,sales,17,10078.0,171325.94,37691.71
2024-01-01,marketing,8,9339.23,74713.86,16437.05
2024-01-01,customer_success,10,7481.38,74813.76,14962.75
2024-01-01,operations,12,6767.03,81204.33,14616.78
2024-01-01,g_and_a,6,12258.72,73552.32,18388.08
2024-02-01,engineering,28,14047.19,393321.37,110129.98
2024-02-01,sales,16,10018.68,160298.83,35265.74
2024-02-01,marketing,8,9256.86,74054.89,16292.08
2024-02-01,customer_success,10,7407.03,74070.28,14814.06
2024-02-01,operations,13,6904.05,89752.66,16155.48
2024-02-01,g_and_a,6,11928.99,71573.94,17893.49
2024-03-01,engineering,30,14835.38,445061.33,124617.17
2024-03-01,sales,17,9846.55,167391.38,36826.1
2024-03-01,marketing,8,9182.98,73463.86,16162.05
2024-03-01,customer_success,10,7509.4,75093.98,15018.8
2024-03-01,operations,12,7075.03,84900.37,15282.07
2024-03-01,g_and_a,7,12176.22,85233.57,21308.39
2024-04-01,engineering,30,14260.58,427817.36,119788.86
2024-04-01,sales,18,9843.01,177174.18,38978.32
2024-04-01,marketing,9,9477.1,85293.92,18764.66
2024-04-01,customer_success,10,7550.28,75502.8,15100.56
2024-04-01,operations,13,6766.21,87960.75,15832.93
2024-04-01,g_and_a,6,12288.49,73730.95,18432.74
2024-05-01,engineering,32,14473.02,463136.53,129678.23
2024-05-01,sales,18,10366.43,186595.76,41051.07
2024-05-01,marketing,9,9085.34,81768.06,17988.97
2024-05-01,customer_success,12,7629.32,91551.81,18310.36
2024-05-01,operations,13,6928.06,90064.77,16211.66
2024-05-01,g_and_a,6,12030.03,72180.18,18045.04
2024-06-01,engineering,34,14507.35,493250.07,138110.02
2024-06-01,sales,18,10150.57,182710.2,40196.24
2024-06-01,marketing,9,9645.55,86809.91,19098.18
2024-06-01,customer_success,11,7289.33,80182.58,16036.52
2024-06-01,operations,13,6785.38,88209.9,15877.78
2024-06-01,g_and_a,7,11959.72,83718.07,20929.52
2024-07-01,engineering,32,14575.92,466429.5,130600.26
2024-07-01,sales,19,10140.6,192671.39,42387.71
2024-07-01,marketing,9,9493.89,85444.98,18797.9
2024-07-01,customer_success,11,7568.67,83255.32,16651.06
2024-07-01,operations,12,7067.59,84811.04,15265.99
2024-07-01,g_and_a,6,12365.96,74195.74,18548.94
2024-08-01,engineering,33,14939.4,493000.18,138040.05
2024-08-01,sales,19,9672.92,183785.54,40432.82
2024-08-01,marketing,10,9466.21,94662.09,20825.66
2024-08-01,customer_success,12,7781.37,93376.38,18675.28
2024-08-01,operations,13,6852.32,89080.16,16034.43
2024-08-01,g_and_a,7,12272.48,85907.39,21476.85
2024-09-01,engineering,36,14546.54,523675.33,146629.09
2024-09-01,sales,20,9911.32,198226.47,43609.82
2024-09-01,marketing,9,9493.76,85443.8,18797.64
2024-09-01,customer_success,11,7625.79,83883.66,16776.73
2024-09-01,operations,13,7060.06,91780.8,16520.54
2024-09-01,g_and_a,7,12335.09,86345.63,21586.41
2024-10-01,engineering,36,14738.07,530570.39,148559.71
2024-10-01,sales,20,9986.42,199728.39,43940.25
2024-10-01,marketing,10,9391.34,93913.36,20660.94
2024-10-01,customer_success,12,7686.58,92238.97,18447.79
2024-10-01,operations,13,6907.53,89797.93,16163.63
2024-10-01,g_and_a,7,12500.55,87503.84,21875.96
2024-11-01,engineering,39,14803.89,577351.73,161658.48
2024-11-01,sales,21,10211.34,214438.21,47176.41
2024-11-01,marketing,10,9659.87,96598.7,21251.71
2024-11-01,customer_success,12,7181.92,86183.02,17236.6
2024-11-01,operations,13,7045.52,91591.76,16486.52
2024-11-01,g_and_a,7,12531.62,87721.33,21930.33
2024-12-01,engineering,39,15251.13,594794.16,166542.36
2024-12-01,sales,21,9928.5,208498.49,45869.67
2024-12-01,marketing,10,9763.34,97633.44,21479.36
2024-12-01,customer_success,12,7651.46,91817.47,18363.49
2024-12-01,operations,14,6922.41,96913.79,17444.48
2024-12-01,g_and_a,7,12028.88,84202.16,21050.54
2025-01-01,engineering,39,15639.77,609951.07,170786.3
2025-01-01,sales,22,9775.83,215068.17,47315.0
2025-01-01,marketing,11,9183.83,101022.13,22224.87
2025-01-01,customer_success,13,7827.75,101760.71,20352.14
2025-01-01,operations,14,6855.88,95982.28,17276.81
2025-01-01,g_and_a,7,12598.46,88189.2,22047.3
2025-02-01,engineering,38,15514.31,589543.74,165072.25
2025-02-01,sales,23,10061.8,231421.34,50912.69
2025-02-01,marketing,10,9591.79,95917.94,21101.95
2025-02-01,customer_success,14,7815.68,109419.51,21883.9
2025-02-01,operations,15,7173.7,107605.53,19369.0
2025-02-01,g_and_a,7,12488.74,87421.21,21855.3
2025-03-01,engineering,41,15277.93,626395.17,175390.65
2025-03-01,sales,23,10418.46,239624.49,52717.39
2025-03-01,marketing,11,9665.82,106324.07,23391.3
