event_date,channel,region,device,sessions,leads,signups,paid_signups
2024-07-01,organic,us,desktop,989,84,43,9
2024-07-01,organic,eu,desktop,410,36,16,3
2024-07-01,organic,apac,desktop,190,16,8,2
2024-07-01,organic,latam,desktop,130,10,5,1
2024-07-01,organic,us,mobile,987,85,29,5
2024-07-01,organic,eu,mobile,496,44,17,3
2024-07-01,organic,apac,mobile,223,20,8,2
2024-07-01,organic,latam,mobile,146,12,4,1
2024-07-01,organic,us,tablet,212,20,10,2
2024-07-01,organic,eu,tablet,96,8,4,1
2024-07-01,organic,apac,tablet,49,4,2,0
2024-07-01,organic,latam,tablet,31,3,1,0
2024-07-01,paid_search,us,desktop,752,79,49,17
2024-07-01,paid_search,eu,desktop,327,33,23,6
2024-07-01,paid_search,apac,desktop,176,20,12,4
2024-07-01,paid_search,latam,desktop,117,12,8,2
2024-07-01,paid_search,us,mobile,836,101,48,13
2024-07-01,paid_search,eu,mobile,316,33,17,4
2024-07-01,paid_search,apac,mobile,129,14,7,2
2024-07-01,paid_search,latam,mobile,98,11,5,1
2024-07-01,paid_search,us,tablet,122,14,7,2
2024-07-01,paid_search,eu,tablet,63,7,4,1
2024-07-01,paid_search,apac,tablet,42,5,3,1
2024-07-01,paid_search,latam,tablet,24,3,2,0
2024-07-01,paid_social,us,desktop,625,41,18,3
2024-07-01,paid_social,eu,desktop,290,21,8,1
2024-07-01,paid_social,apac,desktop,131,9,4,1
2024-07-01,paid_social,latam,desktop,83,6,3,0
2024-07-01,paid_social,us,mobile,669,46,15,2
2024-07-01,paid_social,eu,mobile,230,15,5,1
2024-07-01,paid_social,apac,mobile,155,10,3,0
2024-07-01,paid_social,latam,mobile,112,8,3,0
2024-07-01,paid_social,us,tablet,116,8,3,0
2024-07-01,paid_social,eu,tablet,64,5,2,0
2024-07-01,paid_social,apac,tablet,33,2,1,0
2024-07-01,paid_social,latam,tablet,20,1,0,0
2024-07-01,email,us,desktop,194,30,10,1
2024-07-01,email,eu,desktop,105,13,4,0
2024-07-01,email,apac,desktop,45,6,2,0
2024-07-01,email,latam,desktop,23,3,1,0
2024-07-01,email,us,mobile,181,25,7,1
2024-07-01,email,eu,mobile,101,15,4,0
2024-07-01,email,apac,mobile,41,6,2,0
2024-07-01,email,latam,mobile,37,5,1,0
2024-07-01,email,us,tablet,49,7,2,0
