event_date,channel,spend,clicks,impressions
2024-01-01,organic,0.0,0,0
2024-01-01,paid_search,5426.01,3055,48814
2024-01-01,paid_social,3701.91,2481,98960
2024-01-01,email,52.43,993,8654
2024-01-01,referral,0.0,0,0
2024-01-02,organic,0.0,0,0
2024-01-02,paid_search,5779.16,2913,47095
2024-01-02,paid_social,3037.2,2287,91607
2024-01-02,email,39.01,725,6636
2024-01-02,referral,0.0,0,0
2024-01-03,organic,0.0,0,0
2024-01-03,paid_search,5942.58,3351,48754
2024-01-03,paid_social,3881.75,2744,111156
2024-01-03,email,46.46,887,7753
2024-01-03,referral,0.0,0,0
2024-01-04,organic,0.0,0,0
2024-01-04,paid_search,5725.4,2999,48176
2024-01-04,paid_social,3317.58,2359,100014
2024-01-04,email,45.49,937,8705
2024-01-04,referral,0.0,0,0
2024-01-05,organic,0.0,0,0
2024-01-05,paid_search,4710.99,2963,50634
2024-01-05,paid_social,3095.92,2336,92869
2024-01-05,email,44.03,810,7787
2024-01-05,referral,0.0,0,0
2024-01-06,organic,0.0,0,0
2024-01-06,paid_search,5058.41,2760,47390
2024-01-06,paid_social,2659.2,1855,74292
2024-01-06,email,33.79,657,6038
2024-01-06,referral,0.0,0,0
2024-01-07,organic,0.0,0,0
2024-01-07,paid_search,4724.49,2396,41413
2024-01-07,paid_social,2871.75,1940,85515
2024-01-07,email,40.51,801,7000
2024-01-07,referral,0.0,0,0
2024-01-08,organic,0.0,0,0
2024-01-08,paid_search,5300.53,2891,47002
2024-01-08,paid_social,2809.86,2001,79655
2024-01-08,email,43.66,814,7211
2024-01-08,referral,0.0,0,0
2024-01-09,organic,0.0,0,0
2024-01-09,paid_search,4809.99,2495,39810
2024-01-09,paid_social,3881.33,2794,126650
2024-01-09,email,40.2,771,7479
2024-01-09,referral,0.0,0,0
2024-01-10,organic,0.0,0,0
2024-01-10,paid_search,4732.74,2577,36963
2024-01-10,paid_social,3973.92,2693,110505
2024-01-10,email,41.49,855,7269
2024-01-10,referral,0.0,0,0
2024-01-11,organic,0.0,0,0
2024-01-11,paid_search,5223.16,3140,47880
2024-01-11,paid_social,3413.23,2542,106132
2024-01-11,email,40.03,751,6137
2024-01-11,referral,0.0,0,0
2024-01-12,organic,0.0,0,0
2024-01-12,paid_search,5170.16,3111,49358
2024-01-12,paid_social,3720.78,2628,106043
2024-01-12,email,33.06,629,5972
2024-01-12,referral,0.0,0,0
2024-01-13,organic,0.0,0,0
2024-01-13,paid_search,4266.73,2215,38523
2024-01-13,paid_social,2506.8,1857,72162
2024-01-13,email,34.29,732,6768
2024-01-13,referral,0.0,0,0
2024-01-14,organic,0.0,0,0
2024-01-14,paid_search,4542.13,2538,42968
2024-01-14,paid_social,2305.12,1586,66636
2024-01-14,email,33.8,738,7047
2024-01-14,referral,0.0,0,0
2024-01-15,organic,0.0,0,0
2024-01-15,paid_search,4878.8,2411,35158
2024-01-15,paid_social,3476.84,2338,95062
2024-01-15,email,47.26,960,9072
2024-01-15,referral,0.0,0,0
2024-01-16,organic,0.0,0,0
2024-01-16,paid_search,3919.46,2280,37759
2024-01-16,paid_social,3637.19,2554,97706
2024-01-16,email,39.2,832,6834
2024-01-16,referral,0.0,0,0
2024-01-17,organic,0.0,0,0
2024-01-17,paid_search,5513.59,3005,52757
2024-01-17,paid_social,3197.55,2411,100369
2024-01-17,email,45.42,867,7414
2024-01-17,referral,0.0,0,0
2024-01-18,organic,0.0,0,0
2024-01-18,paid_search,5124.37,2613,42931
2024-01-18,paid_social,3216.21,2366,101219
2024-01-18,email,38.98,756,6638
