cost_date,category,region,amount
2024-01-01,rent,global,1931.25
2024-01-01,software_licenses,global,1039.84
2024-01-01,logistics,us,1647.86
2024-01-01,logistics,eu,745.0
2024-01-01,logistics,apac,308.0
2024-01-01,logistics,latam,273.59
2024-01-01,packaging,us,422.32
2024-01-01,packaging,eu,172.57
2024-01-01,packaging,apac,81.0
2024-01-01,packaging,latam,74.13
2024-01-01,payment_processing_fees,global,1618.45
2024-01-01,customer_support_tooling,global,523.82
2024-01-01,insurance,global,387.45
2024-01-02,rent,global,1717.07
2024-01-02,software_licenses,global,1129.78
2024-01-02,logistics,us,1621.67
2024-01-02,logistics,eu,705.1
2024-01-02,logistics,apac,331.41
2024-01-02,logistics,latam,292.43
2024-01-02,packaging,us,415.45
2024-01-02,packaging,eu,182.02
2024-01-02,packaging,apac,79.57
2024-01-02,packaging,latam,77.61
2024-01-02,payment_processing_fees,global,1577.81
2024-01-02,customer_support_tooling,global,518.07
2024-01-02,insurance,global,390.01
2024-01-03,rent,global,1912.52
2024-01-03,software_licenses,global,1062.26
2024-01-03,logistics,us,1742.95
2024-01-03,logistics,eu,738.17
2024-01-03,logistics,apac,289.26
2024-01-03,logistics,latam,286.38
2024-01-03,packaging,us,445.43
2024-01-03,packaging,eu,176.47
2024-01-03,packaging,apac,87.26
2024-01-03,packaging,latam,68.47
2024-01-03,payment_processing_fees,global,1371.4
2024-01-03,customer_support_tooling,global,525.64
2024-01-03,insurance,global,386.12
2024-01-04,rent,global,1874.31
2024-01-04,software_licenses,global,1109.85
2024-01-04,logistics,us,1907.05
2024-01-04,logistics,eu,766.56
2024-01-04,logistics,apac,361.11
2024-01-04,logistics,latam,278.7
2024-01-04,packaging,us,377.93
2024-01-04,packaging,eu,185.99
2024-01-04,packaging,apac,79.77
2024-01-04,packaging,latam,70.28
2024-01-04,payment_processing_fees,global,1401.64
2024-01-04,customer_support_tooling,global,500.68
2024-01-04,insurance,global,395.61
2024-01-05,rent,global,1768.34
2024-01-05,software_licenses,global,1202.62
2024-01-05,logistics,us,1891.43
2024-01-05,logistics,eu,802.74
2024-01-05,logistics,apac,344.07
2024-01-05,logistics,latam,266.48
2024-01-05,packaging,us,468.56
2024-01-05,packaging,eu,187.91
2024-01-05,packaging,apac,84.73
2024-01-05,packaging,latam,70.0
2024-01-05,payment_processing_fees,global,1409.77
2024-01-05,customer_support_tooling,global,481.72
2024-01-05,insurance,global,396.03
2024-01-06,rent,global,1795.72
2024-01-06,software_licenses,global,1201.0
2024-01-06,logistics,us,1720.71
2024-01-06,logistics,eu,689.08
2024-01-06,logistics,apac,328.0
2024-01-06,logistics,latam,305.98
2024-01-06,packaging,us,458.63
2024-01-06,packaging,eu,184.97
2024-01-06,packaging,apac,78.05
2024-01-06,packaging,latam,70.54
2024-01-06,payment_processing_fees,global,1391.47
2024-01-06,customer_support_tooling,global,519.97
2024-01-06,insurance,global,374.95
2024-01-07,rent,global,1844.28
2024-01-07,software_licenses,global,1143.13
2024-01-07,logistics,us,1727.05
2024-01-07,logistics,eu,743.06
2024-01-07,logistics,apac,337.75
2024-01-07,logistics,latam,279.45
2024-01-07,packaging,us,415.68
2024-01-07,packaging,eu,168.55
2024-01-07,packaging,apac,85.37
2024-01-07,packaging,latam,62.82
2024-01-07,payment_processing_fees,global,1371.88
2024-01-07,customer_support_tooling,global,508.4
2024-01-07,insurance,global,378.64
2024-01-08,rent,global,1763.09
2024-01-08,software_licenses,global,1122.2
2024-01-08,logistics,us,1722.29
2024-01-08,logistics,eu,732.45
2024-01-08,logistics,apac,296.59
2024-01-08,logistics,latam,304.06
2024-01-08,packaging,us,486.54
2024-01-08,packaging,eu,155.17
2024-01-08,packaging,apac,90.4
2024-01-08,packaging,latam,65.9
2024-01-08,payment_processing_fees,global,1494.48
2024-01-08,customer_support_tooling,global,531.19
2024-01-08,insurance,global,375.96
2024-01-09,rent,global,1912.82
2024-01-09,software_licenses,global,978.56
2024-01-09,logistics,us,1847.18
2024-01-09,logistics,eu,766.64
2024-01-09,logistics,apac,299.82
2024-01-09,logistics,latam,275.55
2024-01-09,packaging,us,423.86
2024-01-09,packaging,eu,194.3
2024-01-09,packaging,apac,74.4
2024-01-09,packaging,latam,71.14
2024-01-09,payment_processing_fees,global,1454.85
2024-01-09,customer_support_tooling,global,475.65
2024-01-09,insurance,global,398.49
2024-01-10,rent,global,1840.63
2024-01-10,software_licenses,global,1104.87
2024-01-10,logistics,us,1834.81
2024-01-10,logistics,eu,794.14
2024-01-10,logistics,apac,338.09
2024-01-10,logistics,latam,291.87
2024-01-10,packaging,us,414.81
2024-01-10,packaging,eu,191.33
2024-01-10,packaging,apac,78.57
2024-01-10,packaging,latam,75.69
2024-01-10,payment_processing_fees,global,1519.63
2024-01-10,customer_support_tooling,global,517.64
2024-01-10,insurance,global,359.99
2024-01-11,rent,global,1815.43
2024-01-11,software_licenses,global,1159.92
2024-01-11,logistics,us,1679.98
2024-01-11,logistics,eu,725.36
2024-01-11,logistics,apac,355.98
2024-01-11,logistics,latam,248.35
2024-01-11,packaging,us,428.15
2024-01-11,packaging,eu,194.11
2024-01-11,packaging,apac,75.33
2024-01-11,packaging,latam,74.82
2024-01-11,payment_processing_fees,global,1521.4
2024-01-11,customer_support_tooling,global,535.09
2024-01-11,insurance,global,388.73
2024-01-12,rent,global,1674.23
2024-01-12,software_licenses,global,1128.52
2024-01-12,logistics,us,1732.92
2024-01-12,logistics,eu,701.57
2024-01-12,logistics,apac,276.02
2024-01-12,logistics,latam,286.6
2024-01-12,packaging,us,384.5
2024-01-12,packaging,eu,196.36
2024-01-12,packaging,apac,75.52
2024-01-12,packaging,latam,63.45
2024-01-12,payment_processing_fees,global,1439.56
2024-01-12,customer_support_tooling,global,517.23
2024-01-12,insurance,global,349.46
2024-01-13,rent,global,1871.33
2024-01-13,software_licenses,global,1127.46
2024-01-13,logistics,us,1895.16
2024-01-13,logistics,eu,711.0
2024-01-13,logistics,apac,287.32
2024-01-13,logistics,latam,255.35
2024-01-13,packaging,us,481.52
2024-01-13,packaging,eu,171.61
2024-01-13,packaging,apac,70.71
2024-01-13,packaging,latam,59.62
2024-01-13,payment_processing_fees,global,1359.92
2024-01-13,customer_support_tooling,global,499.61
2024-01-13,insurance,global,365.89
2024-01-14,rent,global,1913.69
2024-01-14,software_licenses,global,1094.13
2024-01-14,logistics,us,1846.98
2024-01-14,logistics,eu,707.19
2024-01-14,logistics,apac,342.37
2024-01-14,logistics,latam,254.72
2024-01-14,packaging,us,402.27
2024-01-14,packaging,eu,181.28
2024-01-14,packaging,apac,79.91
2024-01-14,packaging,latam,62.58
2024-01-14,payment_processing_fees,global,1399.33
2024-01-14,customer_support_tooling,global,491.01
2024-01-14,insurance,global,405.67
2024-01-15,rent,global,1847.31
2024-01-15,software_licenses,global,1194.53
2024-01-15,logistics,us,1729.76
2024-01-15,logistics,eu,810.54
2024-01-15,logistics,apac,303.33
2024-01-15,logistics,latam,318.21
2024-01-15,packaging,us,500.01
2024-01-15,packaging,eu,178.59
2024-01-15,packaging,apac,84.83
2024-01-15,packaging,latam,70.78
2024-01-15,payment_processing_fees,global,1618.26
2024-01-15,customer_support_tooling,global,536.89
2024-01-15,insurance,global,394.59
2024-01-16,rent,global,1754.41
2024-01-16,software_licenses,global,1147.63
2024-01-16,logistics,us,1748.85
2024-01-16,logistics,eu,841.78
2024-01-16,logistics,apac,328.86
2024-01-16,logistics,latam,295.23
2024-01-16,packaging,us,444.93
2024-01-16,packaging,eu,159.41
