return_id,order_id,line_item_id,return_date,reason,quantity,refund_amount,status
7001,171142,427374,2025-11-30,wrong_item,1,186.94,pending
7002,98767,246885,2025-08-19,wrong_item,2,32.27,refunded
7003,183962,459372,2025-09-18,wrong_item,3,166.24,pending
7004,19420,48607,2025-05-05,wrong_item,1,116.53,rejected
7005,109643,274172,2025-01-05,damaged,1,197.33,approved
7006,87879,219679,2024-10-02,damaged,1,106.54,approved
7007,41670,104212,2025-03-29,wrong_item,1,169.89,approved
7008,183968,459383,2025-06-26,defective,3,63.0,pending
7009,89735,224279,2025-10-10,damaged,3,158.77,refunded
7010,176216,440055,2025-10-19,changed_mind,3,13.29,approved
7011,71680,179178,2024-02-28,wrong_item,3,134.46,pending
7012,106038,265072,2024-07-27,not_as_described,1,193.05,refunded
7013,16658,41552,2025-12-22,changed_mind,2,44.88,refunded
7014,185309,462752,2026-01-02,damaged,1,95.01,approved
7015,167094,417337,2025-09-05,not_as_described,1,151.66,refunded
7016,49012,122425,2025-03-28,wrong_item,3,91.11,refunded
7017,12742,31784,2024-12-14,wrong_item,3,103.11,refunded
7018,138812,346800,2024-12-18,damaged,3,197.8,refunded
7019,124066,310062,2025-04-19,damaged,1,168.95,pending
7020,102446,256122,2024-02-01,not_as_described,2,12.26,refunded
7021,176197,440013,2024-06-08,wrong_item,2,198.08,refunded
7022,5788,14524,2025-06-13,wrong_item,2,117.75,refunded
7023,45368,113320,2024-11-16,damaged,1,26.45,approved
7024,180091,449674,2024-01-08,changed_mind,3,35.11,pending
7025,65637,164073,2025-06-17,damaged,3,52.25,pending
7026,147968,369566,2025-10-09,changed_mind,2,5.5,pending
7027,88597,221483,2025-12-26,damaged,3,174.32,rejected
7028,125417,313457,2025-03-12,damaged,2,111.36,pending
7029,198253,495023,2025-09-30,wrong_item,1,149.53,refunded
7030,34172,85362,2024-08-12,damaged,3,126.3,rejected
7031,110034,275155,2025-07-25,damaged,3,69.42,pending
7032,63010,157526,2024-07-02,damaged,2,119.1,refunded
7033,92957,232234,2024-02-02,changed_mind,2,92.83,pending
7034,104861,262136,2024-08-01,not_as_described,3,17.2,approved
7035,81482,203730,2025-07-15,not_as_described,1,33.06,refunded
7036,139216,347808,2024-04-24,not_as_described,1,64.62,approved
7037,116116,290295,2024-05-25,defective,3,60.06,pending
7038,132838,331846,2024-05-17,wrong_item,2,118.74,rejected
7039,185161,462376,2025-08-04,defective,3,189.75,refunded
7040,73186,182889,2025-11-05,wrong_item,2,138.26,approved
7041,152508,380916,2025-09-10,changed_mind,2,42.2,rejected
7042,113787,284486,2025-03-22,not_as_described,1,131.33,refunded
7043,161196,402594,2024-05-12,changed_mind,3,36.42,pending
7044,53300,133064,2025-06-27,damaged,2,55.1,pending
7045,84428,211086,2024-02-16,changed_mind,2,195.34,rejected
7046,4542,11387,2024-08-15,changed_mind,3,121.96,pending
7047,130232,325357,2025-10-18,defective,1,168.04,pending
7048,1542,3894,2024-09-14,not_as_described,2,150.7,approved
7049,157257,392762,2025-06-13,changed_mind,2,23.39,pending
7050,105287,263209,2025-02-10,damaged,1,168.32,rejected
7051,39548,98932,2025-01-06,defective,2,70.47,rejected
7052,50703,126609,2025-10-25,changed_mind,1,72.1,approved
7053,140417,350782,2024-04-19,damaged,3,54.8,pending
7054,164971,412001,2026-01-14,not_as_described,3,111.93,approved
7055,78912,197256,2024-06-25,changed_mind,3,35.87,refunded
7056,59843,149538,2026-01-10,not_as_described,2,164.06,approved
7057,78309,195734,2025-12-29,damaged,1,80.29,pending
7058,134391,335739,2024-04-21,wrong_item,2,98.84,refunded
7059,81962,204936,2024-04-09,not_as_described,3,59.89,approved
7060,73841,184558,2024-06-07,damaged,3,185.06,pending
7061,23515,58812,2025-07-27,not_as_described,1,62.0,rejected
7062,45786,114381,2024-05-24,not_as_described,1,24.33,approved
7063,93409,233328,2024-06-11,wrong_item,3,179.84,refunded
7064,8075,20184,2025-02-12,defective,2,74.24,rejected
7065,174810,436523,2025-06-03,changed_mind,1,9.66,pending
7066,71085,177694,2025-03-01,changed_mind,3,25.12,refunded
7067,180537,450803,2025-06-12,wrong_item,2,19.14,refunded
7068,20675,51703,2025-04-13,defective,3,164.19,pending
7069,190901,476671,2024-01-20,damaged,2,10.41,pending
7070,92905,232101,2025-11-04,wrong_item,2,137.98,refunded
7071,125048,312530,2025-04-21,not_as_described,3,76.29,refunded
7072,143710,358994,2025-11-10,damaged,1,75.09,approved
7073,78695,196714,2025-02-18,defective,2,70.05,pending
7074,6294,15797,2025-08-12,defective,3,198.23,approved
7075,94419,235859,2025-01-10,wrong_item,2,5.15,pending
7076,46908,117185,2025-01-18,not_as_described,1,14.63,rejected
7077,164146,409936,2024-07-24,wrong_item,1,32.33,pending
7078,40750,101852,2024-07-29,defective,3,46.71,pending
7079,113995,285033,2025-06-09,not_as_described,3,11.74,approved
7080,40221,100538,2025-11-11,defective,3,94.81,rejected
7081,122963,307309,2025-11-21,changed_mind,1,110.62,refunded
7082,66802,166954,2024-10-12,damaged,3,39.43,rejected
7083,190856,476565,2024-11-23,wrong_item,2,95.42,rejected
7084,115072,287721,2024-11-10,defective,1,160.98,pending
7085,192178,479930,2025-11-29,damaged,1,20.8,rejected
7086,91441,228489,2024-02-05,damaged,2,7.88,rejected
7087,7545,18900,2024-04-29,damaged,2,185.22,approved
7088,12695,31664,2024-02-26,not_as_described,3,49.92,refunded
7089,30069,75079,2025-02-05,wrong_item,1,191.24,refunded
7090,147471,368348,2025-10-24,changed_mind,2,79.68,pending
7091,30992,77451,2025-12-17,changed_mind,1,192.07,refunded
7092,147842,369255,2025-11-17,not_as_described,3,71.55,rejected
7093,39224,98095,2025-06-28,damaged,2,81.69,pending
7094,6917,17304,2025-08-10,not_as_described,2,114.58,rejected
7095,51154,127730,2025-09-16,damaged,2,61.9,refunded
7096,188966,471898,2025-03-18,changed_mind,1,120.52,rejected
7097,167479,418274,2024-10-09,wrong_item,2,92.98,refunded
7098,153512,383380,2024-02-22,wrong_item,1,141.5,refunded
7099,78011,194959,2025-03-28,changed_mind,2,117.57,refunded
7100,172955,431885,2026-01-03,defective,3,8.23,rejected
7101,97444,243545,2025-11-07,changed_mind,2,114.57,rejected
7102,44519,111223,2025-01-06,damaged,3,80.07,approved
7103,184703,461222,2025-02-26,not_as_described,3,161.63,rejected
