sale_id,sale_date,region,channel,revenue,units
1,2025-10-09,us,wholesale,537.13,18
2,2026-03-09,us,online,319.73,11
3,2025-01-28,eu,online,428.23,11
4,2025-10-12,apac,online,334.27,8
5,2026-03-09,eu,retail,400.41,9
6,2025-04-10,latam,wholesale,728.48,21
7,2025-02-14,latam,online,421.88,9
8,2026-01-06,apac,online,306.88,8
9,2025-08-22,us,wholesale,562.97,13
10,2026-04-10,us,online,196.58,5
11,2025-08-03,apac,online,327.69,8
12,2025-09-08,eu,online,434.88,14
13,2025-08-13,apac,retail,261.45,6
14,2025-11-20,latam,wholesale,542.38,15
15,2025-11-19,eu,retail,429.66,10
16,2025-05-23,us,wholesale,609.57,19
17,2026-03-15,us,online,367.51,12
18,2025-04-04,us,online,278.23,7
19,2025-06-13,us,wholesale,495.76,17
20,2026-06-26,apac,retail,253.06,8
21,2025-04-28,us,retail,251.40,8
22,2026-03-22,us,wholesale,463.42,15
23,2025-09-27,eu,retail,499.26,13
24,2026-06-04,eu,online,501.42,13
25,2026-06-28,eu,retail,474.82,13
26,2025-11-11,eu,online,478.67,15
27,2025-03-22,latam,online,481.12,16
28,2025-05-12,us,retail,257.03,6
29,2026-06-25,us,wholesale,522.03,16
30,2025-07-25,apac,retail,261.96,6
31,2026-01-18,apac,online,311.74,10
32,2025-08-24,latam,online,453.63,12
33,2025-03-02,eu,retail,430.30,10
34,2026-05-13,eu,online,654.33,21
35,2026-04-30,eu,retail,418.49,12
36,2025-12-29,eu,online,590.56,17
37,2025-04-11,apac,retail,339.79,8
38,2026-04-05,eu,wholesale,891.90,29
39,2025-03-19,latam,online,333.91,9
40,2025-01-16,eu,retail,450.71,10
41,2025-06-20,us,retail,212.54,5
42,2025-01-03,us,wholesale,516.61,11
43,2026-04-11,latam,retail,329.99,8
44,2026-05-14,us,online,354.24,12
45,2025-03-04,latam,retail,343.82,9
46,2025-06-11,apac,retail,276.14,10
47,2025-03-12,apac,retail,245.14,8
48,2025-09-10,eu,retail,373.91,10
49,2026-06-20,eu,wholesale,800.56,20
50,2025-05-15,latam,online,466.67,12
51,2025-03-16,latam,online,501.77,13
52,2026-06-03,eu,online,525.09,16
53,2025-09-08,us,retail,228.48,5
54,2026-06-26,us,online,352.22,13
55,2025-04-17,us,online,317.93,11
56,2025-10-06,eu,online,507.45,15
57,2025-09-28,latam,online,390.78,9
58,2025-10-11,eu,online,518.39,18
59,2025-09-26,latam,wholesale,735.02,18
60,2025-06-02,us,wholesale,595.01,16
61,2025-06-01,us,online,290.48,8
62,2025-02-10,us,retail,243.59,6
63,2025-04-16,latam,online,389.92,9
64,2025-08-31,us,retail,269.34,6
65,2026-02-27,us,retail,286.47,8
66,2025-09-12,us,retail,247.30,8
67,2025-02-09,us,wholesale,505.76,12
68,2025-08-22,apac,online,336.22,11
69,2025-10-13,us,online,404.08,12
70,2025-12-06,us,online,255.99,6
71,2025-07-02,eu,retail,290.88,10
72,2025-11-18,us,online,279.12,8
73,2025-07-14,us,wholesale,477.32,17
74,2025-07-21,us,online,356.52,10
75,2025-12-05,eu,online,454.14,15
76,2026-02-23,us,online,262.87,8
77,2025-07-16,us,online,251.22,6
78,2025-11-05,us,online,340.97,10
79,2025-08-04,us,online,257.11,6
80,2025-08-07,apac,online,384.26,10
81,2025-06-23,us,retail,227.25,6
82,2025-08-29,us,wholesale,491.83,12
83,2025-01-26,latam,wholesale,915.38,23
84,2025-07-19,us,online,329.63,8
85,2025-06-01,apac,online,357.46,9
86,2026-03-12,us,wholesale,474.95,15
87,2026-04-21,us,retail,260.73,6
88,2026-06-28,apac,retail,296.12,6
89,2026-03-30,us,retail,229.05,6
