month,plan,segment,region,starting_mrr,new_mrr,expansion_mrr,contraction_mrr,churned_mrr,ending_mrr,new_accounts,churned_accounts,active_accounts
2024-07-01,starter,smb,us,19320.0,599.16,303.06,125.39,1285.06,18811.76,7,14,209
2024-07-01,starter,smb,eu,11760.0,376.71,218.91,64.92,586.91,11703.79,4,7,130
2024-07-01,starter,smb,apac,6720.0,209.28,113.41,42.04,348.43,6652.21,2,4,74
2024-07-01,starter,smb,latam,4200.0,162.48,42.93,15.04,257.57,4132.8,2,3,46
2024-07-01,starter,mid_market,us,2760.0,89.2,88.69,30.24,62.09,2845.57,0,0,3
2024-07-01,starter,mid_market,eu,1680.0,62.58,60.38,16.86,40.74,1745.36,0,0,2
2024-07-01,starter,mid_market,apac,960.0,38.36,25.57,11.37,19.73,992.84,0,0,1
2024-07-01,starter,mid_market,latam,600.0,18.81,12.18,3.43,15.92,611.64,0,0,1
2024-07-01,starter,enterprise,us,552.0,19.19,24.87,10.88,5.31,579.87,0,0,1
2024-07-01,starter,enterprise,eu,336.0,11.32,14.56,6.01,3.95,351.92,0,0,1
2024-07-01,starter,enterprise,apac,192.0,6.36,9.19,2.93,1.83,202.79,0,0,1
2024-07-01,starter,enterprise,latam,120.0,4.24,3.46,1.34,1.16,125.2,0,0,1
2024-07-01,pro,smb,us,12880.0,432.78,221.04,81.6,753.18,12699.05,5,8,141
2024-07-01,pro,smb,eu,7840.0,291.16,138.03,46.92,509.08,7713.19,3,6,86
2024-07-01,pro,smb,apac,4480.0,163.71,82.33,29.1,269.87,4427.06,2,3,49
2024-07-01,pro,smb,latam,2800.0,88.23,30.67,10.82,162.6,2745.48,1,2,31
2024-07-01,pro,mid_market,us,15640.0,484.66,467.75,197.57,400.27,15994.57,1,0,19
2024-07-01,pro,mid_market,eu,9520.0,288.45,260.98,89.63,214.22,9765.57,0,0,11
2024-07-01,pro,mid_market,apac,5440.0,178.42,182.9,50.13,134.73,5616.45,0,0,7
2024-07-01,pro,mid_market,latam,3400.0,124.8,65.23,21.3,83.98,3484.75,0,0,4
2024-07-01,pro,enterprise,us,2300.0,76.9,116.76,42.69,26.74,2424.23,0,0,1
2024-07-01,pro,enterprise,eu,1400.0,44.06,73.66,22.77,17.28,1477.67,0,0,1
2024-07-01,pro,enterprise,apac,800.0,25.78,38.23,12.48,10.04,841.5,0,0,1
2024-07-01,pro,enterprise,latam,500.0,16.35,14.19,5.06,5.66,519.82,0,0,1
2024-07-01,business,smb,us,4140.0,132.6,70.85,24.13,240.22,4079.1,1,3,45
2024-07-01,business,smb,eu,2520.0,96.18,40.3,13.96,165.17,2477.36,1,2,28
2024-07-01,business,smb,apac,1440.0,56.42,26.24,7.57,93.45,1421.64,1,1,16
2024-07-01,business,smb,latam,900.0,29.99,10.11,3.5,57.43,879.18,0,1,10
2024-07-01,business,mid_market,us,18860.0,694.62,568.88,216.7,444.87,19461.93,1,1,23
2024-07-01,business,mid_market,eu,11480.0,399.8,390.37,134.07,288.26,11847.85,0,0,14
2024-07-01,business,mid_market,apac,6560.0,211.18,212.44,63.24,160.64,6759.74,0,0,8
2024-07-01,business,mid_market,latam,4100.0,146.29,82.63,29.67,106.5,4192.75,0,0,5
2024-07-01,business,enterprise,us,10120.0,327.56,553.05,168.65,121.35,10710.61,0,0,1
2024-07-01,business,enterprise,eu,6160.0,231.72,300.64,96.49,70.67,6525.2,0,0,1
2024-07-01,business,enterprise,apac,3520.0,124.96,169.79,65.49,41.88,3707.37,0,0,1
2024-07-01,business,enterprise,latam,2200.0,85.6,54.42,22.17,22.29,2295.56,0,0,1
2024-07-01,enterprise,smb,us,690.0,23.38,12.55,3.84,38.54,683.54,0,0,8
2024-07-01,enterprise,smb,eu,420.0,13.82,7.79,2.2,22.46,416.95,0,0,5
2024-07-01,enterprise,smb,apac,240.0,9.51,4.09,1.25,12.66,239.69,0,0,3
2024-07-01,enterprise,smb,latam,150.0,4.93,1.29,0.53,9.75,145.93,0,0,2
2024-07-01,enterprise,mid_market,us,8280.0,291.9,290.99,82.77,226.03,8554.09,0,0,10
2024-07-01,enterprise,mid_market,eu,5040.0,192.2,151.33,50.03,103.44,5230.05,0,0,6
2024-07-01,enterprise,mid_market,apac,2880.0,109.36,92.07,31.2,67.68,2982.54,0,0,4
2024-07-01,enterprise,mid_market,latam,1800.0,68.55,31.63,11.56,41.89,1846.74,0,0,2
2024-07-01,enterprise,enterprise,us,30360.0,1203.5,1662.67,624.49,355.04,32246.64,0,0,4
2024-07-01,enterprise,enterprise,eu,18480.0,556.02,1029.35,344.53,228.75,19492.09,0,0,3
2024-07-01,enterprise,enterprise,apac,10560.0,315.57,537.12,151.28,125.5,11135.91,0,0,2
2024-07-01,enterprise,enterprise,latam,6600.0,250.83,209.42,69.42,72.43,6918.39,0,0,1
2024-08-01,starter,smb,us,18811.76,644.77,289.12,125.67,1160.08,18459.91,7,13,205
2024-08-01,starter,smb,eu,11703.79,400.39,218.55,64.58,586.2,11671.94,4,7,130
2024-08-01,starter,smb,apac,6652.21,211.96,100.29,34.62,365.49,6564.36,2,4,73
2024-08-01,starter,smb,latam,4132.8,133.96,42.13,15.84,257.23,4035.83,1,3,45
2024-08-01,starter,mid_market,us,2845.57,110.45,83.21,29.8,59.36,2950.06,0,0,3
2024-08-01,starter,mid_market,eu,1745.36,55.05,54.64,17.4,36.51,1801.15,0,0,2
2024-08-01,starter,mid_market,apac,992.84,37.24,28.24,10.19,21.0,1027.13,0,0,1
2024-08-01,starter,mid_market,latam,611.64,19.59,11.08,4.38,15.4,622.54,0,0,1
2024-08-01,starter,enterprise,us,579.87,23.12,30.65,10.43,6.78,616.44,0,0,1
2024-08-01,starter,enterprise,eu,351.92,10.63,18.0,5.77,4.37,370.42,0,0,1
2024-08-01,starter,enterprise,apac,202.79,7.22,8.9,3.3,2.0,213.61,0,0,1
2024-08-01,starter,enterprise,latam,125.2,4.86,3.29,1.26,1.52,130.57,0,0,1
2024-08-01,pro,smb,us,12699.05,378.17,239.07,86.33,840.59,12389.36,4,9,138
2024-08-01,pro,smb,eu,7713.19,259.36,144.52,45.16,453.08,7618.83,3,5,85
2024-08-01,pro,smb,apac,4427.06,149.77,74.53,26.35,222.33,4402.68,2,2,49
2024-08-01,pro,smb,latam,2745.48,88.87,25.03,9.04,173.07,2677.27,1,2,30
2024-08-01,pro,mid_market,us,15994.57,528.16,605.59,204.83,356.19,16567.3,1,0,19
2024-08-01,pro,mid_market,eu,9765.57,303.81,340.98,97.87,231.25,10081.23,0,0,12
2024-08-01,pro,mid_market,apac,5616.45,220.32,177.18,53.22,145.21,5815.52,0,0,7
2024-08-01,pro,mid_market,latam,3484.75,106.08,62.18,25.09,78.7,3549.22,0,0,4
2024-08-01,pro,enterprise,us,2424.23,85.12,132.81,38.77,27.39,2575.99,0,0,1
2024-08-01,pro,enterprise,eu,1477.67,52.57,64.92,28.19,15.1,1551.88,0,0,1
2024-08-01,pro,enterprise,apac,841.5,32.4,36.27,11.75,8.93,889.49,0,0,1
2024-08-01,pro,enterprise,latam,519.82,20.04,12.8,4.44,6.36,541.84,0,0,1
2024-08-01,business,smb,us,4079.1,144.36,83.2,27.84,236.52,4042.31,2,3,45
2024-08-01,business,smb,eu,2477.36,82.1,40.05,13.34,151.1,2435.08,1,2,27
2024-08-01,business,smb,apac,1421.64,50.46,21.8,7.68,74.91,1411.31,1,1,16
2024-08-01,business,smb,latam,879.18,28.79,9.92,3.17,56.78,857.94,0,1,10
2024-08-01,business,mid_market,us,19461.93,590.65,653.11,242.77,427.27,20035.65,1,1,24
2024-08-01,business,mid_market,eu,11847.85,422.65,416.12,134.0,258.23,12294.4,0,0,14
2024-08-01,business,mid_market,apac,6759.74,239.46,182.77,67.76,158.15,6956.06,0,0,8
2024-08-01,business,mid_market,latam,4192.75,136.6,83.24,23.52,96.61,4292.45,0,0,5
2024-08-01,business,enterprise,us,10710.61,331.75,627.6,222.13,104.14,11343.69,0,0,2
