Date,Day of Week,Exercise,Weight,Reps,Start Time,RPE,Notes,,,,,,,,,,,,,,,,
2026-02-20,Friday,Flat Barbell Bench Press,95,5,8:46 AM,,,,,,,,,,,,,,,,,,
2026-02-20,Friday,Flat Barbell Bench Press,115,5,8:47 AM,,,,,,,,,,,,,,,,,,
2026-02-20,Friday,Flat Barbell Bench Press,135,3,8:48 AM,,,,,,,,,,,,,,,,,,
2026-02-20,Friday,Flat Barbell Bench Press,160,3,8:50 AM,,,,,,,,,,,,,,,,,,
2026-02-20,Friday,Flat Barbell Bench Press,185,3,8:53,,,,,,,,,,,,,,,,,,
2026-02-20,Friday,Flat Barbell Bench Press,225,1,8:57 AM,9,paused,,,,,,,,,,,,,,,,
2026-02-20,Friday,Flat Barbell Bench Press,210,3,9:00,8.5,,,,,,,,,,,,,,,,,
2026-02-20,Friday,Flat Barbell Bench Press,195,5,9:05,7.5,,,,,,,,,,,,,,,,,
2026-02-20,Friday,Pull Up,174.4,1,9:09 AM,,,,,,,,,,,,,,,,,,
2026-02-20,Friday,Pull Up,174.4,4,9:11 AM,7,explosive,,,,,,,,,,,,,,,,
2026-02-20,Friday,Pull Up,174.4,4,9:13 AM,8,explosive,,,,,,,,,,,,,,,,
2026-02-20,Friday,Pull Up,174.4,4,9:17 AM,8,explosive,,,,,,,,,,,,,,,,
2026-02-20,Friday,Pull Up,174.4,4,9:21 AM,7,explosive,,,,,,,,,,,,,,,,
2026-02-20,Friday,Strict Wall EZ-Bar Curl,30,5,9:23,,,,,,,,,,,,,,,,,,
2026-02-20,Friday,Strict Wall EZ-Bar Curl,30,16,9:25:00 AM,,controlled,,,,,,,,,,,,,,,,
2026-02-20,Friday,EZ-Bar Preacher Curl,30,13,9:28:00 AM,,controlled,,,,,,,,,,,,,,,,
2026-02-20,Friday,Chin Up,174.4,8,10:30:00 PM,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Barbell Deadlift,135,5,8:37 AM,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Barbell Deadlift,165,5,8:39 AM,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Barbell Deadlift,195,3,8:41 AM,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Barbell Deadlift,240,3,8:43 AM,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Barbell Deadlift,275,3,8:50 AM,4,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Barbell Deadlift,335,1,8:55 AM,8.5,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Barbell Deadlift,295,3,9:01 AM,7.5,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Barbell Deadlift,295,3,9:08 AM,8,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Seated Cable Row,70,5,9:14,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Seated Cable Row,90,5,9:14,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Seated Cable Row,115,11,9:16 AM,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Seated Cable Row,115,8,9:19 AM,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Seated Cable Row,115,4,9:26 AM,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Muscle Up Green Band,,3,9:31,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Muscle Up Lightest Band,,1,9:35,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Muscle Up Lightest Band,,2,9:38,,second rep kip,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Muscle Up Lightest Band,,2,9:41,,both kip,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Muscle Up Green Band,,3,9:45,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Hanging Leg Raise,173.8,3,9:46 AM,,,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Hanging Leg Raise,173.8,10,9:48 AM,9,controlled high reps,,,,,,,,,,,,,,,,
2026-02-18,Wednesday,Hanging Leg Raise,173.8,8,9:52 AM,8,controlled high reps,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Overhead Press,45,5,9:24:00,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Overhead Press,65,5,9:24:00,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Overhead Press,95,3,9:27,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Overhead Press,105,3,9:30,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Overhead Press,115,3,9:32,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Overhead Press,135,1,9:35,8.5,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Overhead Press,120,5,9:40,7.5,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Overhead Press,115,5,9:43,8,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Barbell Squat,135,5,8:35 AM,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Barbell Squat,160,5,8:39 AM,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Barbell Squat,195,3,8:44,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Barbell Squat,210,5,8:57 AM,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Barbell Squat,240,4,9:01,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Barbell Squat,300,1,9:10 AM,8,"belted, recovering from sickness",,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Barbell Squat,265,5,9:15 AM,8,belted,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Barbell Squat,265,3,9:22 AM,8,unbelted,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Lateral Cable Raise (Partials),7.5,10,9:44,,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Lateral Cable Raise (Partials),10.5,13,9:47 AM,9,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Lateral Cable Raise (Partials),10.5,9,9:50 AM,9,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Lateral Cable Raise (Partials),9,10,9:52 AM,8,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Cable External Rotation,4,10,9:53 AM,7,,,,,,,,,,,,,,,,,
2026-02-17,Tuesday,Cable External Rotation,4,10,9:55 AM,8,,,,,,,,,,,,,,,,,
