Date,Calories (kcal),Fat (g),Carbs (g),Protein (g)
2/21/2026,1867,65,162,180
2/20/2026,2668,107,264,177
2/19/2026,2200,65,251,168
2/18/2026,2130,73,196,193
2/17/2026,2556,111,201,197
2/16/2026,2398,81,258,173
2/15/2026,2710,130,235,162
2/14/2026,1987,76,169,165
2/13/2026,2884,96,337,174
2/12/2026,2277,155,207,161
2/11/2026,2176,85,173,183
2/10/2026,1896,45,220,162
2/9/2026,1958,96,137,152
2/8/2026,1375,45,91,163
2/7/2026,1943,92,114,175
2/6/2026,1577,66,135,126
2/5/2026,1262,34,106,136
2/4/2026,1524,49,137,167
2/3/2026,1415,44,119,147
2/2/2026,2310,95,218,180
2/1/2026,2328,93,222,181
1/31/2026,1878,77,129,180
1/30/2026,1853,85,105,183
1/29/2026,2269,96,179,187
1/28/2026,2061,47,269,178
1/27/2026,2090,73,180,188
1/26/2026,2552,119,214,167
1/25/2026,2091,59,216,202
1/24/2026,2555,123,170,205
1/23/2026,2011,67,157,199
1/22/2026,2229,99,187,155
1/21/2026,2616,98,251,206
1/20/2026,1488,52,113,159
1/19/2026,2254,61,221,201
1/18/2026,1623,65,104,170
1/17/2026,1674,73,97,174
1/16/2026,2043,83,173,176
1/15/2026,2192,77,171,204
1/14/2026,2094,70,207,176
1/13/2026,2155,76,176,200
1/12/2026,1903,61,160,192
1/11/2026,2078,75,193,171
1/10/2026,1792,73,129,166
1/9/2026,1588,73,74,175
1/8/2026,2396,110,185,169
1/7/2026,2209,90,195,195
1/6/2026,2224,95,180,222
1/5/2026,1766,61,154,180
1/4/2026,1836,82,112,172
1/3/2026,2517,122,196,172
1/2/2026,2721,120,258,160
1/1/2026,1967,71,190,149
12/31/2025,2029,68,188,197
12/30/2025,2081,50,260,174
12/29/2025,1803,72,108,184
12/28/2025,2010,82,154,168
12/27/2025,2145,80,168,204
12/26/2025,2175,74,213,172
12/25/2025,2764,87,299,158
12/24/2025,1854,57,138,177
12/23/2025,2539,95,225,201
12/22/2025,1787,38,198,171
12/21/2025,2321,112,177,158
12/20/2025,1884,66,152,183
12/19/2025,1648,33,170,174
12/18/2025,2080,68,188,182
12/17/2025,2275,95,203,172
12/16/2025,2309,72,167,176
12/15/2025,2308,122,159,156
12/14/2025,2138,74,160,215
12/13/2025,1733,65,79,220
12/12/2025,2516,53,299,170
12/11/2025,2388,101,201,195
12/10/2025,1834,68,131,177
12/9/2025,1941,78,113,209
12/8/2025,1862,63,136,193
12/7/2025,2279,84,182,208
12/6/2025,1940,70,140,203
12/5/2025,2703,109,220,198
12/4/2025,2178,74,170,183
12/3/2025,1974,73,143,197
12/2/2025,2463,89,212,221
12/1/2025,2088,61,229,177
11/30/2025,1818,75,111,181
11/29/2025,1960,76,148,189
11/28/2025,2532,110,190,185
11/27/2025,2420,96,187,201
11/26/2025,2506,116,202,154
11/25/2025,2328,68,255,176
11/24/2025,1943,75,148,185
11/23/2025,2106,84,160,185
11/22/2025,1876,77,153,160
11/21/2025,2178,86,180,182
11/20/2025,1957,78,134,191
11/19/2025,2258,95,146,214
11/18/2025,2390,81,203,212
11/17/2025,2405,110,197,197
11/16/2025,2079,80,163,196
11/15/2025,2113,102,135,183
11/14/2025,2166,77,204,178
11/13/2025,1801,61,161,161
11/12/2025,2110,65,183,209
11/11/2025,2211,93,151,194
11/10/2025,1746,63,110,200
11/9/2025,2280,84,212,185
11/8/2025,2139,74,167,213
11/7/2025,1912,65,161,179
11/6/2025,2113,79,152,206
11/5/2025,1820,53,177,177
11/4/2025,1725,59,159,176
11/3/2025,2587,107,227,182
11/2/2025,2259,73,206,204
11/1/2025,1770,68,136,168
10/31/2025,2111,91,167,184
10/30/2025,2316,98,208,185
10/29/2025,2446,60,188,185
10/28/2025,2260,68,255,167
10/27/2025,2078,82,184,195
10/26/2025,1821,62,146,180
10/25/2025,1875,59,162,187
10/24/2025,1848,61,147,186
10/23/2025,2111,69,220,186
10/22/2025,2115,70,148,233
10/21/2025,2010,63,167,189
10/20/2025,1770,69,112,180
10/19/2025,1950,53,213,178
10/18/2025,1742,60,145,173
10/17/2025,3000,111,328,179
10/16/2025,2284,84,222,183
10/15/2025,2740,72,211,205
10/14/2025,1827,50,205,161
10/13/2025,2263,89,179,204
10/12/2025,1862,44,247,123
10/11/2025,2790,106,281,180
10/10/2025,2857,97,296,167
10/9/2025,2233,64,227,206
10/8/2025,1817,71,135,173
10/6/2025,1894,67,155,169
10/5/2025,1807,70,142,162
10/4/2025,2609,113,214,173
10/3/2025,2384,118,179,164
10/2/2025,2408,93,185,206
10/1/2025,2813,121,229,198
9/30/2025,2122,85,174,170
9/27/2025,1831,65,143,175
9/25/2025,2218,58,266,169
9/24/2025,2997,131,284,184
9/23/2025,1168,30,149,85
9/22/2025,1562,64,83,171
9/21/2025,2170,76,247,128
9/20/2025,2058,107,93,194
9/19/2025,2772,90,311,189
9/18/2025,1816,65,143,177
9/16/2025,347,4,33,52
9/15/2025,2221,81,230,189
9/14/2025,1842,63,173,177
9/13/2025,1876,87,89,201
9/12/2025,1409,40,107,187
9/10/2025,1551,51,112,176
9/9/2025,1038,30,73,141
9/8/2025,1731,50,163,186
9/7/2025,1608,45,128,186
9/6/2025,1546,54,93,180
